title,artist_id,background_story,playback_url
Banjo Kazooie Theme,560,,https://www.youtube.com/watch?v=dQNAVqW1shA
Eye Of The Tiger,1376,,https://www.youtube.com/watch?v=btPJPFnesV4
Right Now,1583,,https://www.youtube.com/watch?v=vyGzPmgR1QY
Pocket Calculator,804,,https://www.youtube.com/watch?v=eSBybJGZoCU
Welcome To My Nightmare,52,,https://www.youtube.com/watch?v=aOeP4p1fjMs
Something Good,60,,https://www.youtube.com/watch?v=aNYjOVo5IEw
Angel of Death,1309,,https://www.youtube.com/watch?v=K6_zsJ8KPP0
I Like It Loud,260,,https://www.youtube.com/watch?v=lpZazCooDXw
Ghost Dream,185,,https://www.youtube.com/watch?v=DVKEhce6Hqw
Breathe In,1359,,https://www.youtube.com/watch?v=MU-cT6tNM2I
Outta My System (Wash Out Remix),1010,,https://soundcloud.com/my-morning-jacket/outta-my-system-washed-out-2
Never Gonna Give You Up,1195,,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Du Hast,1172,,https://www.youtube.com/watch?v=W3q8Od5qJio&list=RDW3q8Od5qJio
Slaves Shall Serve,148,,https://www.youtube.com/watch?v=f1y192BaUPE
New World Symphony,85,,https://www.youtube.com/watch?v=ETNoPqYAIPI
La Vie En Rose,871,,https://www.youtube.com/watch?v=OXAN-0fKse0
Comfortably Numb,1135,,https://www.youtube.com/watch?v=JU-OSLBKwG0
Coffee,1386,,https://www.youtube.com/watch?v=pUrQ0qka1JY
I Wanna Be Adored,1355,,https://www.youtube.com/watch?v=kmAZWKdCvmI
Obstacles,1385,,https://www.youtube.com/watch?v=NqWcpEZ3GY0
Butterfly,569,,https://www.youtube.com/watch?v=ADPk5PpkjMg
Mt. Washington,863,,https://www.youtube.com/watch?v=mN-CqIytN2U
Work Bitch,222,,https://www.youtube.com/watch?v=pt8VYOfr8To
The Eternal Forest,231,,https://www.youtube.com/watch?v=dZWGH0ougJI
Pride,63,,https://www.youtube.com/watch?v=_guBE6TBhoM
Sleep To Dream,486,,https://www.youtube.com/watch?v=L9Wnh0V4HMM&feature=youtu.be
Pulaski at Night,73,,https://www.youtube.com/watch?v=oecHq2neweA
Cup Of Brown Joy,438,,https://www.youtube.com/watch?v=eELH0ivexKA
Hey Baby,1052,,https://www.youtube.com/watch?v=wt1YkGO2Ieo
Body and Blood,304,,https://soundcloud.com/subpop/clipping-body-and-blood
Stayin' Alive,146,,https://www.youtube.com/watch?v=oQwNN-0AgWc
Don't Stop Me Now,1159,,https://www.youtube.com/watch?v=HgzGwKwLmgM
Working For It,1668,,https://www.youtube.com/watch?v=GYv92AOLkgY
Daylight,935,,https://www.youtube.com/watch?v=WgBeu3FVi60
Feel Invincible,1306,,https://www.youtube.com/watch?v=Qzw6A2WC5Qo
Serenade,1258,,https://www.youtube.com/watch?v=ZpA0l2WB86E
Dare You 2 Move,368,,https://www.youtube.com/watch?v=oRyQB2MIdK4
Genius of Love,1539,,https://www.youtube.com/watch?v=ECiMhe4E0pI
